"","labsampnum","pedon_key","site_key","latitude","longitude","hzn_desgn","hzn_top","hzn_bot","horizon_ap","land_cover_simple","clay_total","claysilt","ph_h2o","al_fe","ca_mg","MCI","ET","prcp_mean","temp_mean","NPP","AI","AI_factor","SOC_NPP_Ratio","SOC_NPP_Ratio_factor","fraction_quant_method","WS_mgpg_OC","POM_mgpg_OC","MAOM_mgpg_OC","fMAOM"
"860","09N00958",39617,39000,46.71,-68.74,"Bg",10,20,"0","forest",34.3,82,4.8,0.54,1.56,-0.547727108681195,857,1396.59249711782,3.4522628,0.675372727272727,1.1414,"Humid",80.6346503469465,"high","MIR prediction",54.4584437175,13.593792075,40.8646516425,0.750382288823437
"861","09N00930",39613,38996,46.52,-68.71,"E",3,6,"0","forest",18.6,72.1,4.3,0.235,1.12,-1.15665579872323,867,1444.19750010222,3.4175095,0.644404545454546,1.1541,"Humid",30.9653465059357,"low","MIR prediction",19.95421004,4.854466935,15.099743105,0.756719663405929
"862","03N01762",29956,29854,43.58,-120.05,"A1",0,10,"0","grassland",19,61.9,7,0.22,17.54,-0.38944169648708,1452,540.569999933243,6.11156165,0.177559090909091,0.1948,"Arid",83.1919959821314,"high","MIR prediction",14.7714951775,3.802632185,10.9688629925,0.742569581528065
"863","16N05926",73370,134103,32.39,-80.66,"A",0,13,"0","grassland",6.3,24.5,7.7,0.03,11.04,-1.07063282122205,1613,1554.4025009498,18.935869,0.907213636363636,0.7858,"Humid",6.31247648619399,"low","MIR prediction",5.7267647475,1.058573995,4.6681907525,0.815153224957928
"864","12N01424",59526,58725,44.59,-121.89,"A",6,23,"0","forest",3.8,32.5,5.5,3.57,0.48,5.23733495545599,1137,3241.35500023514,4.1157316,0.743731818181818,1.5564,"Humid",86.2276987480213,"high","MIR prediction",64.1302831675,23.6104806575,40.51980251,0.631835702396129
"865","09N01450",40060,39441,42.23,-79.85,"Ap",0,20,"1","cropland",9.8,47,5.3,0.475,4.56,-0.527499492464859,1045,1348.11749851424,8.83609875,0.708854545454546,1.0412,"Humid",20.4785159530741,"low","MIR prediction",14.5162891175,3.2273215625,11.288967555,0.777675855283887
"866","06N00393",32751,32609,41.83,-103.98,"Ap",0,23,"1","cropland",19,68.9,8.1,0.14,55.02,1.27362652434436,1638,482.465001143515,9.0430061,0.287377272727273,0.2288,"Arid",52.8909807680749,"high","MIR prediction",15.199665805,9.432152635,5.76751317,0.379449998703442
"867","03N00774",29116,29043,39.06,-95.58,"Ap1",0,14,"1","cropland",8.9,83.5,6.7,0.035,9.69,-1.12645391483514,1491,1230.17000088841,12.599759,0.413619047619048,0.6249,"Arid",16.9312275518075,"low","MIR prediction",7.003078215,1.6788427875,5.3242354275,0.760270735816707
"868","03N03501",30211,30095,36.1,-84.58,"Ap",0,8,"1","cropland",20,80.3,5.3,0.28,3.49,-0.955053569560929,1253,1795.95000015199,13.1868487,0.680704545454546,1.0884,"Humid",28.6719068211412,"low","MIR prediction",19.5170973,5.025764505,14.491332795,0.742494263990783
"869","05N02190",32588,32463,38.03,-120.92,"A1",0,5,"0","cropland",35.7,83.7,5.5,0.215,28.81,0.147343677502489,1964,837.955000583082,16.3030775,0.429095454545455,0.2464,"Arid",23.4668113547526,"low","MIR prediction",10.069502085,1.855889155,8.21361293,0.815692063089731
"870","10N04116",50405,49679,48.92,-121.19,"A",4,8,"0","forest",3.9,41.6,5.5,2.34,0,2.84441467302466,881,2350.85250141658,4.29330675,0.646181818181818,1.5136,"Humid",90.0974727226365,"high","MIR prediction",58.2193487375,17.3054700325,40.913878705,0.702753974275338
"871","01N05289",28522,28461,18.15,-67,"Ap",8,25,"1","cropland",26.1,68.6,5.3,0.445,0.77,-0.769051287003705,1675,2864.70749990642,23.1529725,1.58828181818182,1.3082,"Humid",12.7830924824424,"low","MIR prediction",20.30315337,6.836298595,13.466854775,0.663288826596693
"872","10N00499",40458,39827,46.49,-115.79,"A",1,11,"0","forest",7.1,26.5,5.8,0.24,9.79,-0.726664181714103,1113,1461.44500042498,6.322032905,0.573413636363636,0.8719,"Humid",32.5963695091597,"low","MIR prediction",18.6912027725,5.382753185,13.3084495875,0.712016757267246
"873","08N03217",35094,34874,40.5,-118.69,"A1",0,5,"0","grassland",12.3,65.8,8.6,0.135,23.95,-0.242413467708432,1910,356.864999368787,9.8217918,0.120722727272727,0.0963,"Arid",19.0382046317821,"low","MIR prediction",2.298343985525,1.7212019275,0.577142058025,0.251112131891418
"874","09N04158",40642,39943,41.34,-111.18,"A",0,20,"0","grassland",13.8,52.3,7.7,0.105,47.05,0.819777630829695,1420,637.437499744818,4.34544075,0.1887,0.2062,"Arid",70.6613406995231,"high","MIR prediction",13.33379499,1.2001695475,12.1336254425,0.909990400452377
"875","16N01291",74358,134954,40.47,-103.01,"Ap1",0,7,"1","cropland",13.6,38.3,6.6,0.035,9.01,-1.15942324050611,1715,567.265001267195,9.2454195,0.260354545454545,0.2489,"Arid",24.6211173836377,"low","MIR prediction",6.410219825,1.584479125,4.8257407,0.752819845768706
"876","19N02995",75840,136436,33.32,-98.51,"A",0,12,"0","grassland",6.6,19,6.7,0.03,6.99,-1.26699424617414,2026,1013.10250452161,17.641753,0.340340909090909,0.3775,"Arid",32.5089308674457,"low","MIR prediction",11.064119085,3.542656965,7.52146212,0.679806685215193
"877","13N02101",69754,67828,46.11,-94.33,"Ap",0,28,"1","cropland",4.4,13.8,5,0.15,3.51,-1.20453446582295,1047,878.252499178052,5.69974237,0.445822727272727,0.6464,"Arid",14.7491007922024,"low","MIR prediction",6.57548434,1.6676335675,4.9078507725,0.746386200427024
"878","05N02182",32586,32461,37.93,-120.78,"A",0,10,"0","grassland",12,71.2,5.4,0.23,10.2,-0.726051047115159,1992,871.855000140145,16.127085,0.426213636363636,0.2458,"Arid",27.8277194183455,"low","MIR prediction",11.860553485,2.747904535,9.11264895,0.768315657572367
"879","03N01756",29954,29852,43.41,-119.63,"A",0,8,"0","grassland",17.7,51.4,6.9,0.28,15.29,-0.382938800564712,1479,475.319999575615,6.94569845,0.119981818181818,0.1723,"Arid",104.619864682149,"high","MIR prediction",12.5524815825,5.8469218775,6.705559705,0.53420191544822
"880","03N01276",30519,30403,41.94,-85.52,"Ap",0,23,"1","cropland",6.5,27.8,6,0.13,3.84,-1.22706550482914,1117,1210.16750017181,9.2675698,0.576313636363636,0.8056,"Humid",9.85914481023985,"low","MIR prediction",5.681959597025,0.835225227025,4.84673437,0.853004018637811
"881","20N00065",76226,136820,41.83,-115.45,"A",4,20,"0","grassland",11.4,59,5.7,0.22,6.25,-0.936829471230071,1369,1063.81000202894,2.0738085,0.230368181818182,0.3468,"Arid",58.5458910104378,"high","MIR prediction",13.487110465,3.66633933,9.820771135,0.728159761164972
