"","site_key","pedon_key","latidude","longitude","POM_mgpg_OC","MAOM_mgpg_OC","WS_mgpg_OC_calculated","clay_total","claysilt","ph_h2o","al_fe","DEC","ET","prcp_mean","temp_mean","NPP_MODIS_mean_2001_2022_kgC_m2","horizon_ap","hzn_bot","aridity_index_v3","land_cover_simple","MCI","fMAOM","SOC_NPP_Ratio","SOC_NPP_Ratio_factor","aridity_index_factor","fraction_quant_method"
"2715",39015,39632,46.01,-69.13,2.3799727625,11.6012480675,13.98122083,12.2,76.2,3.7,0.18,0.21,854,1473.06249696016,3.24747125,0.708604761904762,"0",13,1.2507,"forest",-1.27878622726311,0.829773609083321,19.7306334668396,"low","Humid","MIR prediction"
"2716",58667,59468,46.56,-115.28,21.186763615,63.934910755,85.12167437,13,79.3,5.2,1.71,2.26,1039,2175.71500085294,2.4481643,0.494995238095238,"0",7,0.5934,"forest",1.29292381650262,0.75110024829978,171.964632826675,"high","Sub-humid","MIR prediction"
"2717",135371,74775,32.97,-87.41,2.46892149,7.49060341,9.9595249,11.3,26.3,4.2,0.16,0.02,1488,1907.47250047326,17.026614,0.397761904761905,"0",50,0.9696,"forest",-1.32003992955672,0.75210449145019,25.038910918233,"low","Humid","MIR prediction"
"2718",26497,26497,39.27,-101.72,4.7393252375,12.9289981875,17.668323425,32.4,90.1,7.7,0.19,32.36,1784,704.8275000453,10.73625705,0.272242857142857,"1",14,0.2578,"cropland",0.241758342285767,0.731761462392406,64.8991257674345,"high","Arid","MIR prediction"
"2719",58676,59477,37.59,-87.34,2.084432385,9.32580026,11.410232645,16.8,74.7,5.2,0.355,2.65,1349,1516.99500393122,13.8466625,0.5902,"0",9,0.8746,"cropland",-0.881435548351938,0.817319028467539,19.3328238647916,"low","Sub-humid","MIR prediction"
"2720",33310,33460,37.35,-89.1,1.1341415675,5.188028755,6.3221703225,29.3,99,5.9,0.49,13.83,1347,1548.95749753714,13.77224915,0.69442380952381,"1",22,0.8911,"cropland",-0.139849188960862,0.820608824241306,9.10419578907488,"low","Sub-humid","MIR prediction"
"2721",135315,74719,45.76,-122.3,28.143002545,45.5385550275,73.6815575725,21.7,59.2,5.7,1.945,7.36,1042,3364.52750104666,8.51790415,0.825295238095238,"0",18,2.3282,"forest",1.9118308926225,0.6180454991426,89.2790290933403,"high","Humid","MIR prediction"
"2722",135350,74754,40.19,-105.49,3.087584195,6.53594193,9.623526125,8.5,36.3,5.1,0.135,17.11,1407,812.677502080798,3.84842185,0.359085714285714,"0",17,0.3238,"grassland",-0.560818591798654,0.679162901945154,26.8000807109325,"low","Arid","MIR prediction"
"2723",32980,33126,47.62,-117.2,7.3652794375,16.056540875,23.4218203125,32.8,76.6,6.4,0.255,20.43,1233,736.267500082031,8.6110495,0.47607619047619,"0",18,0.4208,"grassland",-0.211289807264363,0.685537702056009,49.197630087471,"high","Arid","MIR prediction"
"2724",26978,26982,45.18,-123.89,11.32886801,54.381828715,65.710696725,43.3,87.6,5.1,4.125,2.01,921,3232.84249614924,10.6035915,1.09930952380952,"1",23,2.6315,"cropland",5.18908479384875,0.827594766535326,59.7745178239588,"high","Humid","MIR prediction"
"2725",132774,72014,36.34,-118.64,9.2274644625,37.44439715,46.6718616125,2.7,27.8,5.3,1.25,0.05,1512,2074.73750287294,2.60803815,0.388280952380952,"0",21,0.5012,"forest",0.445159394423358,0.802290627720994,120.201264899312,"high","Sub-humid","MIR prediction"
"2726",135345,74749,31.18,-84.46,0.00305289249986,3.46535985,3.46841274249986,1.3,4.8,5.3,0.04,0.61,1632,1731.90750395227,19.097282,0.549109523809524,"0",16,0.8299,"forest",-1.48661197476946,0.999119801267464,6.31643158988987,"low","Sub-humid","MIR prediction"
"2727",135261,74665,33.37,-97.62,0.3314322095,2.9457572075,3.277189417,5,21.4,6,0.035,2.66,1863,1189.83250135183,17.4476605,0.3877,"0",18,0.4664,"grassland",-1.39877916997792,0.898866935252281,8.45290022440031,"low","Arid","MIR prediction"
"2728",135835,75239,38.86,-119.58,22.44116091,14.916483245,37.357644155,10.3,34.3,8.3,0.085,48.17,1748,699.414999395609,7.23063538,0.29007619047619,"0",8,0.2064,"grassland",0.811633028299769,0.399288648478749,128.785627299068,"high","Arid","MIR prediction"
"2729",135462,74866,31.89,-110.87,1.4263378675,2.150159755,3.5764976225,4.6,21.6,6.8,0.07,3.51,2547,577.732500884682,18.630578,0.151295238095238,"0",3,0.1515,"shrubland",-1.30237032840684,0.60119143976867,23.6391949114,"low","Arid","MIR prediction"
"2730",29278,29351,32.6,-106.76,0.924035658525,2.543717925,3.467753583525,6.5,13.8,8.4,0.05,14.37,2331,349.332499399781,15.5461725,0.105914285714286,"0",24,0.1179,"shrubland",-0.826572376096088,0.733534798171642,32.7411317570475,"low","Arid","MIR prediction"
"2731",31428,31547,46.54,-89.63,18.8543924125,32.3008335275,51.15522594,10.5,59.2,4.5,0.375,12.05,902,1213.79000085592,4.280904,0.691142857142857,"0",13,1.0089,"forest",-0.409227480546456,0.631427834281988,74.0154157875155,"high","Humid","MIR prediction"
"2732",135230,74634,35.67,-83.49,11.8761092775,36.675760725,48.5518700025,21,58.2,4.6,0.61,0.39,1260,2218.17000280041,9.0751152,0.599104761904762,"0",8,1.1829,"forest",-0.574554407247306,0.755393370494515,81.0407012091454,"high","Humid","MIR prediction"
"2733",63492,65299,41.22,-123.98,2.3762765875,25.4291887025,27.80546529,27.1,63.1,4.9,0.795,3.59,1219,2507.81249585375,10.1847804,1.05980952380952,"0",29,1.3494,"forest",-0.125460193903188,0.914539225914173,26.2362855450216,"low","Humid","MIR prediction"
"2734",136369,75773,42.48,-121.28,8.625549465,5.63509753,14.260646995,4.7,23.2,6.7,0.1,9.26,1464,638.760000813752,7.9341148,0.579952380952381,"0",12,0.2711,"grassland",-0.984771467960736,0.395150201247934,24.589341234502,"low","Arid","MIR prediction"
"2735",35082,35302,40.36,-123.75,4.8850945625,20.2320299425,25.117124505,23.4,71.2,5.3,0.935,2.93,1361,2877.48250127584,10.426543,0.822147619047619,"0",15,1.1514,"forest",0.0701996323183625,0.805507411426513,30.5506260957075,"low","Humid","MIR prediction"
"2736",39357,39976,44.95,-123.28,2.1750688075,18.1427522625,20.31782107,33.8,80.7,5.2,0.9,9.85,1118,1991.31749878824,11.0898875,0.689966666666667,"0",30,1.1385,"cropland",0.337364669143289,0.892947732928332,29.4475400792309,"low","Humid","MIR prediction"
"2737",135481,74885,39.12,-96.63,2.27763238,6.533953135,8.811585515,26.6,89.6,5.9,0.145,12.66,1554,1043.99999778531,12.4679265,0.355166666666667,"1",33,0.5718,"cropland",-0.75286140311129,0.741518438864064,24.8097198920695,"low","Sub-humid","MIR prediction"
"2738",134115,73382,37.67,-112.85,7.2040640975,23.1463586575,30.350422755,13.9,54.1,5.9,0.165,31.7,1446,1072.86749726534,2.46929575,0.314247619047619,"0",15,0.3946,"grassland",0.17042159233094,0.762637108693546,96.5812337639411,"high","Arid","MIR prediction"
"2739",29284,29357,32.34,-105.77,4.595679415,5.39515131,9.990830725,11.4,43.4,6.8,0.045,19.33,2379,441.162499308586,14.4359785,0.154928571428571,"0",5,0.1428,"grassland",-0.602574836924572,0.540010281277186,64.4866897879207,"high","Arid","MIR prediction"
"2740",29606,29691,43.73,-96.61,1.05625359625,11.894663185,12.95091678125,30.1,84.4,8,0.29,33.95,1188,865.455001469702,7.470789,0.493385714285714,"1",30,0.5226,"cropland",0.477973736916428,0.918441789558928,26.2490712768191,"low","Sub-humid","MIR prediction"
"2741",51106,51832,42.86,-117.31,2.894398115,8.3573905575,11.2517886725,27.7,93.9,6.9,0.215,18.24,1612,519.512500993907,8.30712055,0.16467619047619,"0",30,0.1699,"grassland",-0.378490740795829,0.742761066773848,68.3267486329593,"high","Arid","MIR prediction"
"2742",34874,35094,40.5,-118.69,1.4366170025,0.4863071025,1.922924105,10.5,60.7,8.5,0.12,30.75,1910,356.864999368787,9.8217918,0.119966666666667,"0",13,0.0963,"grassland",0.053151939588344,0.252899790082979,16.0288199916643,"low","Arid","MIR prediction"
"2743",32111,32230,37.93,-79.21,3.302960525,15.14797329,18.450933815,25.4,87.8,6.4,0.155,12.43,1250,1451.70000177622,11.8120685,0.789514285714286,"1",10,0.8694,"cropland",-0.747441953570495,0.820986809767059,23.3699809475989,"low","Sub-humid","MIR prediction"
"2744",58726,59527,44.64,-121.99,16.3946066475,37.9296179775,54.324224625,5.9,41.8,5.4,3.345,0.34,1140,3275.39750547707,5.453325835,0.773585714285714,"0",17,1.7353,"forest",3.84877651276254,0.698208179487661,70.2239242811767,"high","Humid","MIR prediction"
"2745",134217,73484,36.87,-108.19,3.5761639225,7.477646245,11.0538101675,28.2,69.2,7.8,0.1,48.56,1821,345.272500574589,10.8634385,0.195647619047619,"0",13,0.1493,"grassland",0.854154326243016,0.676476810411083,56.4985672777832,"high","Arid","MIR prediction"
"2746",134933,74337,39.03,-95.2,2.8872291325,22.8132720775,25.70050121,41.4,97.6,7.5,0.25,74.91,1463,1245.43500291184,12.7051995,0.593233333333333,"0",29,0.6797,"forest",2.32984781661376,0.887658644907027,43.3227530651233,"high","Sub-humid","MIR prediction"
"2747",68036,69964,46.75,-121.75,12.1746055875,12.3212511125,24.4958567,0.8,11.1,4.9,0.375,0.19,911,3342.69499269128,3.86024897,0.386166666666667,"0",25,2.4431,"forest",-0.964180659153491,0.502993272021386,63.4333794561934,"high","Humid","MIR prediction"
"2748",29326,29399,45.32,-122.86,6.5304891025,21.6241846025,28.154673705,24.1,86.4,5.8,1.59,9.17,1092,1853.01250270754,10.432288,0.874314285714286,"0",31,1.3117,"forest",1.4220772425206,0.768049554723121,32.2020058061828,"low","Humid","MIR prediction"
"2749",134764,74119,46.21,-116.02,9.1481327875,35.9308809575,45.079013745,24.8,74.1,6.8,0.36,31.69,1310,869.10500184074,10.1729696,0.574357142857143,"1",13,0.5539,"cropland",0.48549508048997,0.797064486830867,78.4860331339385,"high","Sub-humid","MIR prediction"
"2750",39365,39984,37.93,-120.34,2.5926218525,3.770250615,6.3628724675,11.2,37,6.4,0.31,7.03,1933,1452.3174992241,14.2068105,0.676971428571429,"0",36,0.4231,"forest",-0.749303814755959,0.592539082663926,9.39902660430911,"low","Arid","MIR prediction"
"2751",135276,74680,47.21,-99.17,3.9039487375,13.8682324725,17.77218121,14.8,29.8,7.4,0.13,20.9,1143,651.407500401139,4.5973261,0.449552380952381,"0",18,0.3813,"grassland",-0.391567698408777,0.780333731050225,39.5330599125056,"high","Arid","MIR prediction"
