"","pedon_key","c_stock_topsoil","NPP_MODIS_mean_2001_2022_kgC_m2","aridity_index_v3","horizon_ap","land_cover_simple","SOC_NPP_Ratio"
"112",13453,5.8164,0.601295238095238,0.2924,"0","cropland",9.67311834769387
"113",13454,2.1706,0.803304761904762,0.2605,"0","grassland",2.70208780395272
"114",13455,4.23534,0.749871428571429,0.285,"1","cropland",5.64808824369892
"115",13456,1.8942,0.7489,0.3006,"0","grassland",2.52930965415943
"116",13457,1.73886,0.7489,0.3006,"0","grassland",2.32188543196688
"117",13458,1.586,1.13083333333333,0.4238,"0","grassland",1.40250552689757
"118",13459,4.0799,1.48176666666667,0.7764,"1","cropland",2.75340247002452
"119",13460,7.0028,0.835009523809524,0.5371,"1","cropland",8.38649117204252
"120",13461,6.1518,0.451814285714286,0.2889,"1","cropland",13.6157713346192
"121",13463,1.52706,0.9595,0.4282,"1","cropland",1.59151641479937
"122",13490,1.46805,0.7677,0.7318,"1","cropland",1.91227041813208
"123",13491,2.14448,0.7341,0.7331,"1","cropland",2.92123688870726
"124",13492,4.7217,0.543761904761905,0.7962,"0","forest",8.68339609422891
"125",13596,4.40984,0.413090476190476,0.915,"1","cropland",10.6752400604042
"126",13612,1.0576,0.359085714285714,0.1978,"0","grassland",2.94525779758116
"127",13614,5.03208,0.272209523809524,0.1449,"0","grassland",18.4860541599608
"128",13615,2.344,0.36942380952381,0.1523,"0","shrubland",6.34501604815736
"129",13616,8.75916,0.295528571428571,0.1602,"0","grassland",29.6389616667472
"130",13722,6.46647,0.441080952380952,0.3744,"0","grassland",14.6605061159273
"131",13726,43.3598,0.410190476190476,0.4054,"0","grassland",105.706501044811
"132",13937,3.10788,0.284114285714286,0.2571,"1","cropland",10.9388374899437
"133",14111,2.34126,0.451152380952381,0.4256,"1","cropland",5.18951045998607
"134",14112,1.58718,0.451152380952381,0.4256,"1","cropland",3.518057461316
"135",14113,3.85405,0.451152380952381,0.4256,"1","cropland",8.54267906525089
"136",14114,2.2257,0.451152380952381,0.4256,"1","cropland",4.93336640560681
"137",14116,7.00911,0.438204761904762,0.4682,"0","grassland",15.995056670615
"138",14138,2.98188,0.495985714285714,0.3512,"0","grassland",6.01202799619805
"139",14139,4.29284,0.470490476190476,0.349,"0","grassland",9.12418043986519
"140",14140,3.59865,0.464595238095238,0.3525,"0","grassland",7.74577461179726
"141",14141,1.33002,0.451319047619048,0.3534,"0","forest",2.94696181563037
"142",14161,5.5315,NA,1.8121,"0","other",NA
"143",14234,6.98475,0.452066666666667,0.3584,"1","cropland",15.4507078601976
"144",14239,8.16825,0.386614285714286,0.3599,"1","cropland",21.1276466023722
"145",14244,7.91899,0.352642857142857,0.5356,"1","cropland",22.4561191006684
"146",14249,5.38401,0.451666666666667,0.5657,"1","cropland",11.9203173431734
"147",14254,10.44748,0.727842857142857,1.1876,"1","cropland",14.3540324638364
"148",14256,8.57808,0.98777619047619,1.1962,"1","cropland",8.68423442750189
"149",14257,7.7919,0.724761904761905,1.1672,"1","cropland",10.7509789750328
"150",14258,16.41702,0.930904761904762,1.3234,"0","forest",17.6355527136938
"151",14268,7.61772,0.798538095238095,1.2261,"0","forest",9.53958245126511
"152",14285,4.6361,0.742138095238095,0.9704,"0","forest",6.24695057395299
"153",14288,9.49176,0.647371428571429,1.1786,"1","cropland",14.6620001765381
"154",14292,13.38838,0.708328571428572,1.1636,"1","cropland",18.9013694209709
"155",14321,24.89424,0.48377619047619,0.5042,"1","cropland",51.4581752679811
"156",14322,29.47392,0.48377619047619,0.5042,"1","cropland",60.9247015050249
"157",14323,22.1235,0.48377619047619,0.5042,"1","cropland",45.7308574409654
"158",14324,19.0008,0.48377619047619,0.5042,"1","cropland",39.2760131111395
"159",14352,5.4416,0.199314285714286,0.2934,"0","grassland",27.3016055045872
"160",14354,6.4512,0.199314285714286,0.2934,"0","grassland",32.3669724770642
"161",14355,3.726,0.199314285714286,0.2934,"0","grassland",18.6940940366972
"162",14549,32.13825,2.35221904761905,1.6452,"1","cropland",13.6629494742553
"163",14560,7.569,1.4322380952381,0.9011,"1","cropland",5.28473584466536
"164",14561,28.36912,1.78751904761905,1.617,"1","cropland",15.8706672456371
"165",14562,11.85954,1.4322380952381,0.9011,"1","cropland",8.28042490939921
"166",14563,10.09082,1.05078095238095,1.1952,"1","cropland",9.60316227386434
"167",14634,1.75065,0.149166666666667,0.1826,"0","grassland",11.7362011173184
"168",14643,2.03324,0.1373,0.1878,"0","grassland",14.8087399854334
"169",14644,2.6128,0.149271428571429,0.1737,"0","grassland",17.5036845631161
"170",14717,17.38575,0.18762380952381,0.1949,"1","cropland",92.6628131265704
"171",14720,5.6114,0.594695238095238,1.0184,"1","cropland",9.43575741075861
"172",14721,6.13394,1.36456666666667,2.5027,"0","forest",4.49515597137064
