"","site_key","pedon_key","latitude","longitude","POM_mgpg_OC","MAOM_mgpg_OC","WS_mgpg_OC","WS_mgpg_OC_calculated","clay_total","claysilt","ph_h2o","al_fe","DEC","ET","prcp_mean","temp_mean","NPP_MODIS_mean_2001_2022_kgC_m2","horizon_ap","hzn_top","hzn_bot","hzn_desgn","aridity_index_v3","land_cover_simple","labsampnum","fMAOM","SOC_NPP_Ratio","SOC_NPP_Ratio_factor","aridity_index_factor_5_8","aridity_index_factor_5_10","MCI","aridity_index_factor","fraction_quant_method"
"361",17810,17810,46.78,-91.28,21.5164769603643,67.2143346114324,94.94,88.7308115717967,49.5,83.5,5,0.911731261171798,20.48,930,1036.0850036107,5.25975333,0.734195454545455,"0",0,10,"A",0.8114,"forest","91P02185",0.757508394443634,120.854482307754,"high","wet_8","mid_5_10",0.968414483131997,"Sub-humid","direct measurement"
"362",17823,17823,46.64,-91.91,18.0847369860417,38.3027591610946,60.0275909030308,56.3874961471362,40.7,82.3,5.8,0.946707914597816,21.87,915,1012.42999703437,5.1205179,0.619045454545455,"0",0,8,"A",0.8378,"forest","91P02277",0.679277530982192,91.0878122649972,"high","wet_8","mid_5_10",1.095664146403,"Sub-humid","direct measurement"
"363",17935,17935,30.3,-100.95,3.63756671189476,24.0662286265796,28.2054376519363,27.7037953384743,38.7,87.6,7.9,0.214049324726912,64.23,2152,537.857498943806,19.0708715,0.363095454545455,"0",0,9,"A",0.2341,"grassland","91P02935",0.868697892564814,76.2989318419192,"high","dry_5","dry_5",1.87432249202534,"Arid","direct measurement"
"364",18243,18243,42.66,-72.75,28.4109078211021,38.5168470396331,68.9621543319859,66.9277548607352,8.9,47.9,5.5,0.876996730805156,12.74,1002,1629.42250183597,6.5178247,0.707209090909091,"1",0,10,"Ap1",1.246,"cropland","91P04966",0.575498866199529,94.6364458843453,"high","wet_8","wet_10",0.535600662667977,"Humid","direct measurement"
"365",18280,18280,47.46,-114.4,4.7233949968805,11.4524983026345,18.1759650681031,16.175893299515,43.4,97.2,7.9,0.1444438086779,29.44,1283,552.152500644326,7.9439726,0.231477272727273,"0",0,8,"A",0.3045,"grassland","91P05178",0.707997888622194,69.881129619898,"high","dry_5","dry_5",0.0779872063758406,"Arid","direct measurement"
"366",18333,18333,42.37,-84.82,2.54355306703691,15.2127265256035,24.7733792052493,17.7562795926404,16.8,48,6.8,0,12.89,1066,1174.47999953711,8.5157782,0.654986363636364,"1",0,22,"Ap",0.7948,"cropland","91P05565",0.856751913948733,27.1093881925431,"low","mid_5_8","mid_5_10",-0.968394471827578,"Sub-humid","direct measurement"
"367",18460,18460,39.76,-106.61,14.8847928099856,18.2400578848974,42.5655082387557,33.124850694883,21.3,60.5,6.2,0.352909122172735,21.61,1368,801.485000599176,2.9860605,0.404590909090909,"0",0,5,"A1",0.2842,"grassland","91P06755",0.550645738841474,81.8724542509187,"high","dry_5","dry_5",0.0599136974628395,"Arid","direct measurement"
"368",18492,18492,38,-105.19,13.9968054973039,23.5642780132956,43.1986501564502,37.5610835105995,10.8,34.8,5.2,0.252589335050685,14.38,1371,899.502496778965,2.3026245,0.31535,"0",0,3,"A1",0.3623,"grassland","91P06997",0.627358846201705,119.109191408275,"high","dry_5","dry_5",-0.461340429475695,"Arid","direct measurement"
"369",18591,18591,41.2,-87.34,1.03413293486672,15.9067561437682,26.82,16.9408890786349,11.2,25.1,5.7,0.325322716233888,8.67,1134,1279.28499686904,9.7650655,0.549481818181818,"1",0,9,"Ap1",0.8654,"cropland","91P07788",0.938956395377683,30.8306635780792,"low","wet_8","mid_5_10",-0.611150047733736,"Sub-humid","direct measurement"
"370",18659,18659,42.42,-75.11,4.60304229983176,28.5838969511258,37.1562467600771,33.1869392509576,20.4,84.4,4.5,0.509181899967554,6.24,1030,1328.97249860689,6.8845564,0.942809090909091,"1",0,18,"Ap",1.0124,"cropland","92P00237",0.861299583398643,35.2000628451275,"low","wet_8","wet_10",-0.411419705072013,"Humid","direct measurement"
